verdict,text,part
"ע""פ 3877∕16",כבוד השופטת א' חיות,לפני:   
"ע""פ 3877∕16",כבוד השופט י' עמית,לפני:   
"ע""פ 3877∕16",כבוד השופט נ' סולברג,לפני:   
"ע""פ 3877∕16","ערעור על פסק דינו של בית המשפט המחוזי מרכז-לוד מיום 4.4.2016 בת""פ 4222-09-15 שניתן על ידי כבוד השופטת מ' ברנט",מדינת ישראל
"ע""פ 3877∕16","א' בחשון התשע""ז",תאריך הישיבה:
"ע""פ 3877∕16",בשם שירות המבחן למבוגרים:,בשם המשיבה:
"ע""פ 3877∕16",* אין זהות בין מתחם העונש ההולם ומדיניות הענישה הנוהגת.,"חוק העונשין, תשל""ז-1977: סע'  144(ב)"
"ע""פ 3877∕16","מתחם העונש ההולם מגלם הכרעה ערכית המבוססת על שיקולים שונים, שמדיניות הענישה היא רק אחד מהם; חומרת העבירות בנשק אינה מסתכמת רק בנזק שאירע בפועל, אלא גם בפוטנציאל הנזק הנובע מאותן עבירות; אדם שנמצא מחזיק בנשק טעון במחסנית ובתחמושת וללא רישיון, מותר להניח לחובתו כי עשה זאת למטרות לא כשרות.","חוק העונשין, תשל""ז-1977: סע'  144(ב)"
"ע""פ 3877∕16",* עונשין – ענישה – מתחם הענישה,"חוק העונשין, תשל""ז-1977: סע'  144(ב)"
"ע""פ 3877∕16",* עונשין – ענישה – מדיניות ענישה,"חוק העונשין, תשל""ז-1977: סע'  144(ב)"
"ע""פ 3877∕16",* עונשין – ענישה – מדיניות ענישה: עבירות נשק,"חוק העונשין, תשל""ז-1977: סע'  144(ב)"
"ע""פ 3877∕16",* עונשין – עבירות – עבירות נשק,"חוק העונשין, תשל""ז-1977: סע'  144(ב)"
"ע""פ 3877∕16","ערעור על גזר דינו של ביהמ""ש המחוזי אשר גזר על המערער 34 חודשי מאסר בפועל ועונשים נוספים בגין הרשעתו, במסגרת הסדר טיעון, בעבירה של נשיאת נשק.",.
"ע""פ 3877∕16","ביהמ""ש העליון דחה את הערעור בקבעו:",.
"ע""פ 3877∕16","עיקר טענות המערער מופנה נגד מתחם העונש ההולם שנקבע, שלשיטתו חורג ממדיניות הענישה הנוהגת.",.
"ע""פ 3877∕16","כפי שנפסק, אין זהות בין מתחם העונש ההולם ומדיניות הענישה הנוהגת.",.
"ע""פ 3877∕16","מתחם העונש ההולם מגלם הכרעה ערכית המבוססת על שיקולים שונים, ומדיניות הענישה היא רק אחד מאותם שיקולים.",.
"ע""פ 3877∕16","עוד נפסק כי קביעת מתחם העונש ההולם איננה עניין אריתמטי וכי לביהמ""ש נתון בהקשר זה מרחב מסוים של גמישות שאין להתערב בו, בייחוד אם העונש שנגזר אינו חורג מן הראוי וההולם.",.
"ע""פ 3877∕16","בימ""ש זה כבר עמד על החומרה היתרה הגלומה בביצוע עבירות בנשק ובכללן העבירה של החזקת נשק או נשיאתו שלא כדין.",.
"ע""פ 3877∕16",עבירות אלה מקימות סיכון חמור לשלום הציבור וביטחונו ומחייבות ליתן ביטוי עונשי הולם ומרתיע באמצעות הרחקת מבצע העבירה מהחברה לתקופת מאסר ממשית.,.
"ע""פ 3877∕16","חומרת העבירות בנשק אינה מסתכמת רק בנזק שאירע בפועל, אלא גם בפוטנציאל הנזק הנובע מאותן עבירות.",.
"ע""פ 3877∕16",התנהלות המערער היה בה כדי ללמד על פוטנציאל של הנזק.,.
"ע""פ 3877∕16","כפי שנפסק, מקום שאדם נמצא מחזיק בנשק כשהוא טעון במחסנית ובתחמושת וללא רישיון, מותר להניח לחובתו כי הוא עושה זאת למטרות לא כשרות, במיוחד כשהוא אינו מציע לכך הסבר שיניח את דעת ביהמ""ש.",.
"ע""פ 3877∕16","חשד זה חמור שבעתיים, מקום שהמחזיק בנשק הנו בעל הרשעות קודמות, חלקן לא פשוטות כלל.",.
"ע""פ 3877∕16",ויפים הדברים לענייננו.,.
"ע""פ 3877∕16","אכן, העונש שנגזר על המערער אינו מן הקלים, אך הוא אינו חורג באופן מהותי ממדיניות הענישה הנוהגת והראויה.",.
"ע""פ 3877∕16","על אף גילו הצעיר למערער עבר פלילי מכביד ביותר, ואת העבירה דנן ביצע שבועות ספורים לאחר שסיים לרצות 54 חודשי מאסר.",.
"ע""פ 3877∕16","בנסיבות אלה, יש קושי רב לקבל את טענתו כי השתקם.",.
"ע""פ 3877∕16","ערעור על גזר דינו של בית המשפט המחוזי מרכז-לוד (השופטת מ' ברנט) מיום 4.4.2016 בת""פ 4222-09-15 אשר גזר על המערער 34 חודשי מאסר בפועל, 8 חודשי מאסר מותנה וכן קנס בסך 7,500 ש""ח או 45 ימי מאסר.",השופטת א' חיות:
"ע""פ 3877∕16",רקע עובדתי וגזר דינו של בית המשפט המחוזי,השופטת א' חיות:
"ע""פ 3877∕16","על פי עובדות כתב האישום המתוקן, בהן הודה המערער במסגרת הסדר טיעון, התגלע סכסוך בין קרוב משפחה של המערער, איברהים ג'באלי (להלן: איברהים) ובין יונס חאג' יחיא (להלן: יונס) והשניים קבעו להיפגש בעיר טייבה ביום 28.8.2015 לשם יישוב הסכסוך.",השופטת א' חיות:
"ע""פ 3877∕16",באותו יום סמוך לשעה 21:40 נסע המערער ברכבו למקום המפגש יחד עם קרוב משפחתו ר'.ג' (להלן: הקטין) כשהוא נושא עמו ברכב אקדח טעון במחסנית שהכילה 14 כדורים.,השופטת א' חיות:
"ע""פ 3877∕16","האקדח מסוג ""גלוק"" נגנב חודשים אחדים קודם לכן בהתפרצות לדירה בהוד השרון.",השופטת א' חיות:
"ע""פ 3877∕16","כשהגיע למקום המפגש, עצר המערער מאחורי הרכב שבו ישבו איברהים, יונס ואדם נוסף.",השופטת א' חיות:
"ע""פ 3877∕16",הוא החביא את האקדח במכנסיו והתקרב יחד עם הקטין אל הרכב.,השופטת א' חיות:
"ע""פ 3877∕16","באותו שלב הגיעו למקום שוטרים שהורו למערער ולקטין להרים ידיים, אך המערער כרע לכיוון הרצפה והשליך את האקדח מאחורי גבו.",השופטת א' חיות:
"ע""פ 3877∕16","בגין מעשים אלו הורשע המערער בעקבות הסדר טיעון, כאמור, בעבירה של נשיאת נשק לפי סעיף 144(ב) רישא לחוק העונשין, התשל""ז-1977.",השופטת א' חיות:
"ע""פ 3877∕16",בהסדר הטיעון הוסכם עוד כי ההליך בעניינו של הקטין  יופרד ויועבר לבית המשפט לנוער בפתח-תקוה.,השופטת א' חיות:
"ע""פ 3877∕16","כמו כן הוסכם כי תוגש חוות דעת סטטיסטית מטעם משטרת ישראל הנוגעת לתופעת האמל""ח הבלתי-חוקיים והשפעתה על הפשיעה החמורה ואירועי האלימות במחוז המרכז בשנים האחרונות.",השופטת א' חיות:
"ע""פ 3877∕16","זאת, מבלי שהדבר ייחשב מצד המערער כהסכמה לתוכן חוות-הדעת.",השופטת א' חיות:
"ע""פ 3877∕16","בגזר דינו מיום 4.4.2016 עמד בית המשפט קמא על החומרה היתרה הטמונה בעבירות נשק ועל המגמה להחמיר בעונשם של המבצעים עבירות אלה, בין היתר, בשל הסיכון הנשקף מהן לשלום הציבור וביטחונו.",השופטת א' חיות:
"ע""פ 3877∕16","בהינתן הערך החברתי המוגן, הפגיעה בו בנסיבות העניין ורמת הענישה הנוהגת, קבע בית המשפט את מתחם העונש ההולם בין 24 ל-48 חודשי מאסר בפועל.",השופטת א' חיות:
"ע""פ 3877∕16","אשר לחוות הדעת שהגישה המשטרה, קבע בית המשפט כי מדובר בחוות דעת כללית וכי הנתונים המופיעים בה אינם מצדיקים החמרה בקביעת מתחם העונש ההולם במקרה דנן.",השופטת א' חיות:
"ע""פ 3877∕16","בקביעת עונשו של המערער, ציין בית המשפט כי מדובר אמנם בנאשם צעיר (בן 25) אך עברו הפלילי מכביד וכולל ארבע הרשעות קודמות ובהן שוד מזוין, סיכון חיי אנשים במזיד בנתיב תחבורה ועבירות רכוש, אשר בגינן ריצה שלושה מאסרים, האחרון שבהם בן 54 חודשים.",השופטת א' חיות:
"ע""פ 3877∕16",עוד נתן בית המשפט קמא את הדעת לכך שהמערער השתחרר ממאסרו האחרון ביום 2.7.2015 וביצע את העבירה שבה הורשע בתוך פחות מחודשיים מיום שחרורו.,השופטת א' חיות:
"ע""פ 3877∕16",בית המשפט ציין בהקשר זה כי העבירה בוצעה על רקע רצונו של המערער ליישב סכסוך בין אחרים והשימוש בנשק נמנע הודות להתערבות המשטרה.,השופטת א' חיות:
"ע""פ 3877∕16","מנגד, ציין בית המשפט כי יש לזקוף לזכותו של המערער את הודאתו ואת לקיחת האחריות בנוגע למיוחס לו וכן את החיסכון בזמן שיפוטי.",השופטת א' חיות:
"ע""פ 3877∕16",מטעמים אלו כולם גזר בית המשפט קמא על המערער את העונשים המפורטים לעיל.,השופטת א' חיות:
"ע""פ 3877∕16",מכאן הערעור שבפנינו.,השופטת א' חיות:
"ע""פ 3877∕16","המערער טוען כי מתחם העונש שקבע בית המשפט המחוזי חמור במיוחד ואינו משקף את מדיניות הענישה הנוהגת בעבירות של נשיאת נשק בהדגישו כי כתב האישום המתוקן אינו מייחס לו כל כוונה להשתמש באקדח או תכנון מוקדם של ביצוע העבירה, ולגישתו מדובר במתחם עונש מפלה הנובע מהשתייכותו המגזרית.",תמצית טענות הצדדים
"ע""פ 3877∕16",עוד טוען המערער כי הערך המוגן שנפגע מעבירת נשיאת נשק שלא כדין הוא הזכות הנתונה למדינה לפקח על אחזקה ונשיאה של נשקים ולא פגיעה בשלום הציבור וביטחונו.,תמצית טענות הצדדים
"ע""פ 3877∕16","על כן, לשיטת המערער מתחם עונש ההולם בענייננו נע בין 6 חודשי מאסר ל-24 חודשי מאסר בפועל ובהתאם יש להפחית לטענתו את העונש שנגזר עליו ולמקמו ברף התחתון של המתחם שהציע, בין 10 ל-14 חודשי מאסר בפועל.",תמצית טענות הצדדים
"ע""פ 3877∕16","זאת, בין היתר, בשל נסיבות חייו הקשות, תמיכתו במשפחתו ובאמו החולה והעובדה שהקים משפחה והחל לעבוד מאז שהשתחרר מן המאסר הקודם.",תמצית טענות הצדדים
"ע""פ 3877∕16",המדינה מצדה סומכת ידיה על פסק-דינו של בית המשפט קמא וטוענת כי העונש שנגזר על המערער הוא ראוי ואין להתערב בו.,תמצית טענות הצדדים
"ע""פ 3877∕16",דין הערעור להידחות.,דיון והכרעה
"ע""פ 3877∕16","עיקר טענות המערער מופנות נגד מתחם העונש ההולם שנקבע בעניינו, אשר לשיטתו חורג ממדיניות הענישה הנוהגת.",דיון והכרעה
