verdict,text,part
"ת""פ 6138-03-11","בשם הנאשם: עו""ד חאלד אבו אחמד ועו""ד מוסטפא אבו אחמד","נוכחים: בשם המאשימה: עו""ד מורן רייצ'ס"
"ת""פ 6138-03-11","להחלטה במחוזי (15-03-2011): תפ 6138-03-11 מדינת ישראל נ' ח'אלד חאמד (עציר) שופטים: תאופיק כתילי, עו""ד: הובא, הובא הליווי, שירי שחף, מוסטפא אבו אחמד וחאלד אבו אחמד ",	הנאשם הובא באמצעות הליווי 
"ת""פ 6138-03-11","להחלטה במחוזי (30-03-2011): תפ 6138-03-11 מדינת ישראל נ' ח'אלד חאמד שופטים: תאופיק כתילי, עו""ד: אריאל כהן, אבו אחמד ",	הנאשם הובא באמצעות הליווי 
"ת""פ 6138-03-11","להחלטה במחוזי (12-04-2011): תפ 6138-03-11 מדינת ישראל נ' ח'אלד חמד שופטים: תאופיק כתילי, עו""ד: יעל שוחט, מוסטפא אבו אחמד ",	הנאשם הובא באמצעות הליווי 
"ת""פ 6138-03-11","להחלטה במחוזי (12-04-2011): תפ 6138-03-11 מדינת ישראל נ' ח'אלד חאמד שופטים: שאהר אטרש, עו""ד: גדי צפריר, מוסטפא אבו אחמד חאלד אבו אחמד ",	הנאשם הובא באמצעות הליווי 
"ת""פ 6138-03-11","להחלטה במחוזי (12-05-2011): תפ 6138-03-11 מדינת ישראל נ' ח'אלד בן מאמון חמד שופטים: שאהר אטרש, עו""ד: גדי צפריר, מוסטפא אבו אחמד וחאלד אבו אחמד ",	הנאשם הובא באמצעות הליווי 
"ת""פ 6138-03-11","להחלטה במחוזי (23-05-2011): תפ 6138-03-11 מדינת ישראל נ' ח'אלד בן מאמון חאמד שופטים: שאהר אטרש, עו""ד: גדי צפריר, מוסטפא אבו אחמד חאלד אבו אחמד ",	הנאשם הובא באמצעות הליווי 
"ת""פ 6138-03-11","להחלטה במחוזי (31-05-2011): תפ 6138-03-11 מדינת ישראל נ' ח'אלד בן מאמון חאמד שופטים: שאהר אטרש, עו""ד: הובא, הובא הליווי, שירי שחף, מוסטפא אבו אחמד וחאלד אבו אחמד ",	הנאשם הובא באמצעות הליווי 
"ת""פ 6138-03-11","להחלטה במחוזי (17-07-2011): תפ 6138-03-11 מדינת ישראל נ' ח'אלד בן מאמון חאמד שופטים: שאהר אטרש, עו""ד: אור לרנר, חאלד אבו אחמד מוסטפא אבו אחמד ",	הנאשם הובא באמצעות הליווי 
"ת""פ 6138-03-11","לפסק-דין בעליון (25-08-2011): עפ 5868/11 מדינת ישראל נ' חאלד חאמד שופטים: ס' ג'ובראן, ח' מלצר, ה א' ריבלין, עו""ד: מוסטפא אבו אחמד, אפרת גולדשטיין ",	הנאשם הובא באמצעות הליווי 
"ת""פ 6138-03-11",הנאשם הודה בכתב האישום שהוגש נגדו ביום 3.3.11 והורשע בעבירות שלהלן:,גזר דין
"ת""פ 6138-03-11","עבירות בנשק, עבירה לפי סעיף 144(א)+(ב) רישא וסיפא לחוק העונשין, התשל""ז - 1977 (להלן: ""חוק העונשין"").",גזר דין
"ת""פ 6138-03-11","שיבוש מהלכי משפט, עבירה לפי סעיף 244 לחוק העונשין.",גזר דין
"ת""פ 6138-03-11","הפרעה לשוטר במילוי תפקידו, עבירה לפי סעיף 255 לחוק העונשין.",גזר דין
"ת""פ 6138-03-11","על-פי התמונה העולה מעובדות כתב האישום, ביום 27.2.11 בשעה 12:15 התהלך הנאשם בשכונה המזרחית בנצרת, כשהוא נושא על גופו אקדח ברטה 9 מ""מ (להלן: ""האקדח""), כשבאקדח מחסנית ובה ארבעה כדורים בקוטר 9 מ""מ (להלן: ""התחמושת""); כשהתקרבה ניידת משטרה לנאשם, פתח הנאשם בריצה במטרה לחמוק משוטרים, אשר רדפו אחריו תוך קריאות ""עצור משטרה""; במהלך ניסיון הבריחה, הוציא הנאשם את האקדח שהחזיק על גופו והשליכו למרחק של כמה מטרים ממנו; לאחר שהצליחו השוטרים לעצור את בריחתו, התנגד הנאשם למעצרו ולכבילתו ע""י השוטרים וסרב להיכנס לניידת. בשלב זה, התגודדו אנשים מסביב לניידת, שניסו לסייע לנאשם ולמנוע מהשוטרים להכניסו לניידת; גם לאחר שהוכנס לניידת, המשיך הנאשם וניסה לברוח דרך החלון.",גזר דין
"ת""פ 6138-03-11","במעשיו האמורים לעיל, נשא והחזיק הנאשם נשק, מחסנית וכדורים בלא רשות על-פי דין לנשיאתם או החזקתם, השליך את האקדח במטרה למנוע ולהכשיל הליך שיפוטי וכן עשה מעשה בכוונה להפריע ולהכשיל שוטר כשהוא ממלא תפקידו כחוק.",גזר דין
"ת""פ 6138-03-11","נוכח גילו הצעיר של הנאשם (יליד 1992), הוגש תסקיר חובה בעניינו.",גזר דין
"ת""פ 6138-03-11","שירות המבחן לא בא בהמלצה כלשהי בעניינו של הנאשם. מדובר בנאשם בן 19, רווק, השכלתו תיכונית, עד למעצרו התגורר בבית הוריו ועבד עם אביו באטליז שבבעלותו. בשיחתו עם קצינת המבחן בלט אצלו שימוש בהגנות; הנאשם נטה לתאר פסאדה של תפקוד חיובי ותקין במישורי חייו השונים; הוא שוקל להמשיך לימודים אקדמאיים. בהתייחסו לעבירה, הנאשם קיבל אחריות פורמאלית לביצועה ושלל אחריות אישית בהסתבכותו.",גזר דין
"ת""פ 6138-03-11","להערכת קצינת המבחן, אי-קבלת אחריות אקטיבית, קשייו לשתף באופן פתוח אודות נסיבות התנהגותו, אי-הבעת חרטה לעצם הסתבכותו ואופיה בתיק דנן, מגבירים את הסיכון להסתבכות נוספת עם החוק. בשיחתה עם הנאשם, התרשמה קצינת המבחן מחוסר אמפטיה להשלכות התנהגותו על החברה, אי קבלת אחריות וקושי להתבונן בהתנהגותו באופן ביקורתי.",גזר דין
"ת""פ 6138-03-11","ב""כ המאשימה בטיעוניו בכתב מבקש לגזור על הנאשם מאסר בפועל לתקופה ארוכה, מאסר על תנאי ארוך ומרתיע וקנס, בהדגישו את השיקולים לחומרה שלהלן:",גזר דין
"ת""פ 6138-03-11","בהתאם לחוות דעת מז""פ שהומצאה לבקשת הנאשם מסתבר, כי בקצה קנה האקדח קיימת הברגה חיצונית היכולה לשמש להרכבת משתיק קול.",גזר דין
"ת""פ 6138-03-11","חוק העונשין קובע עונש של 10 שנות מאסר לנושא נשק, 7 שנות מאסר למחזיק נשק ו- 3 שנות מאסר למחזיק ונושא תחמושת.",גזר דין
"ת""פ 6138-03-11","הנאשם נשא והחזיק באקדח טעון, עליו ניתן להרכיב משתיק קול, באמצע רחוב הומה אדם.",גזר דין
"ת""פ 6138-03-11","עבירות הנשק חמורות הן, בשל פגיעתו הפוטנציאלית הרבה של כלי הנשק והסכנה הטמונה בו; בית המשפט העליון הביע לא אחת את יחסו המחמיר לעבירות בנשק.",גזר דין
"ת""פ 6138-03-11","תסקיר שירות המבחן מלמד, כי הנאשם אינו לוקח אחריות מלאה למעשיו וקיימים לגביו גורמים שונים המגבירים את הסיכון להסתבכות נוספת עם החוק.",גזר דין
"ת""פ 6138-03-11","מעשיו של הנאשם בעת מעצרו, בריחתו מן השוטרים, השלכת הנשק, ניסיון ההימלטות מהניידת, כולם גם יחד מלמדים על חוסר כבוד לחוק ולנציגיו ומצדיקים בפני עצמם החמרה משמעותית בעונשו של הנאשם.",גזר דין
"ת""פ 6138-03-11","עובר לסיכומי ב""כ הצדדים לעונש, שמעתי את עדותו של מר מאמון חאמד, אביו של הנאשם, אשר ביקש את רחמי בית המשפט על בנו, שזו לו טעותו הראשונה.",גזר דין
"ת""פ 6138-03-11","הסנגור מבקש שלא למצות את הדין עם הנאשם ולהסתפק בתקופת מעצרו (החל מיום 27.2.11); הסנגור מבקש להתחשב בהודאת הנאשם בהזדמנות הראשונה כבר בחקירתו במשטרה, בגילו הצעיר (בן 19) ובעובדה, כי מדובר במעידתו הראשונה, שכן אין לחובת הנאשם הרשעות קודמות. בנוסף, מבקש הסנגור להתחשב בחרטתו של הנאשם וכן בכאב וסבל שנגרמו לנאשם ולבני משפחתו עקב מעצרו של הנאשם מאחורי סורג ובריח, אף שבית המשפט העליון הורה על בחינת חלופת מעצר לשחרורו מחוץ לאזור מגוריו. עוד נטען, כי מדובר בנאשם שסיים בית ספר תיכון ואשר מקווה להמשיך וללמוד, כאשר בשלב זה הוא עובד בעסק של אביו, שמהווה מקור פרנסה לכל המשפחה. ב""כ הנאשם סמך את טיעוניו על פסק הדין שניתן בע""פ 2044/11 מדינת ישראל נ' גנאדי בלוצרקובסקי, לפיו העמיד בית המשפט העליון את העונש בגין עבירות בנשק על 7 חודשי מאסר. לטענת הסנגור, שליחת הנאשם כאן לריצוי מאסר בפועל עלולה להרוס את עתידו, כאשר כל בני משפחתו הינם נעדרי עבר פלילי.",גזר דין
"ת""פ 6138-03-11","כמו כן, שמעתי את דברי הנאשם שהביע צער וחרטה על מעשיו והבטיח לא לחזור על מעשים כאלה בעתיד.",גזר דין
"ת""פ 6138-03-11","אין חולק, כי הנאשם חטא בעבירות בנשק, שהינן עבירות חמורות. בנוסף, חטא הנאשם בעבירות של שיבוש מהלכי משפט והפרעה לשוטר במילוי תפקידו. בית המשפט העליון עמד לא אחת על המסוכנות הרבה הטמונה בעבירות נשק. בנשיאת ובהחזקת נשק שלא כדין כרוך סיכון ניכר לציבור מאחר והניסיון מלמד, כי מזומנות נעשה שימוש בנשק זה לביצוען של עבירות אחרות כמו גם לפעילות עוינת; הואיל וכך, פסק בית המשפט העליון כי יש ליתן משקל ראוי לאינטרס הציבורי ולצורך בהרתעתם של עבריינים ועבריינים בכוח בביצוען של עבירות בנשק, ולפיכך לנקוט גישה מחמירה כלפי מחזיקי נשק שלא כדין (ע""פ 2044/11 מדינת ישראל נ' גנאדי בלוצרקובסקי).",גזר דין
