verdict,text,part
"תו""ב 28085-10-10","תו""ב 28085-10-10 ועדה מקומית לתכנון ובניה חבל מודיעין נ' י.ע.ע. קפה 443 בע""מ ואח'",בית משפט השלום ברמלה
"תו""ב 28085-10-10",מאשימה 1   ועדה מקומית לתכנון ובניה חבל מודיעין," בא כוח נאשמים עו""ד שמואל בורסי  "
"תו""ב 28085-10-10",הנאשמות הודו בכתב האישום  והורשעו בעבירות המפורטות בו. ,גזר דין
"תו""ב 28085-10-10",הצדדים הגיעו להסדר הכולל הסכמה למלוא רכיבי הענישה בתיק.,גזר דין
"תו""ב 28085-10-10",ההסדר הוא סביר ובכוונתי לכבדו.,גזר דין
"תו""ב 28085-10-10",לפיכך הנני משית על הנאשמות את העונשים הבאים:,גזר דין
"תו""ב 28085-10-10",נאשמת 1 תשלם קנס בסך 8000  ₪ שישולם ב  10 תשלומים חודשייים שווים ורצופים 	כאשר הראשון שבהם ב 10.12.11 והיתרה ב 10 לכל חודש לאחריו. היה ואחד התשלומים 	לא ישולם במועד אזי יעמוד מלוא סכום הקנס לפרעון מיידי.,גזר דין
"תו""ב 28085-10-10",הנאשמת  1 תחתום על התחייבות כספית בסך של 8000  ₪ להמנע במשך שנתיים 	מהיום 	מביצוע 	העבירה לפי חוק התכנון והבניה והתקנות שלפיו . ההתחייבות הכספית תחתם עוד 	היום 	במזכירות בית המשפט.,גזר דין
"תו""ב 28085-10-10","נאשמת 2  תשלם קנס בסך  4000   ₪, או 8 ימי מאסר תמורתו. הקנס ישולם ב  10 	תשלומים חודשייים שווים ורצופים כאשר הראשון שבהם ב 10.12.11 והיתרה ב 10 	לכל 	חודש לאחריו. היה ואחד התשלומים לא ישולם במועד אזי יעמוד מלוא סכום הקנס 	לפרעון מיידי.",גזר דין
"תו""ב 28085-10-10",הנאשמת  2  תחתום על התחייבות כספית בסך של 4000   ₪ להמנע במשך שנתיים 	מהיום מביצוע 	העבירה לפי חוק התכנון והבניה והתקנות שלפיו . ההתחייבות הכספית תחתם עוד היום 	במזכירות בית המשפט. היה ונאשמת 2 לא תחתום תאסר למשך 8 ימים.,גזר דין
"תו""ב 28085-10-10",ניתן בזאת צו הריסה ואיסור שימוש לשטחים המפורטים בכתב האישום .,גזר דין
"תו""ב 28085-10-10","הצו יכנס לתוקפו בתום 12 חודשים מהיום, אלא אם עד למועד זה יהיה בידי הנאשמות 	היתר בניה כדין המסדיר 	את העבירות נשוא כתב האישום.",גזר דין
"תו""ב 28085-10-10","צו ההריסה יכול שיקויים בידי המאשימה, ככל שהנאשמות	 לא יקיימהו במידה ויכנס 	לתוקפו. צו הריסה ירשם בפנקסי המקרקעין.",גזר דין
"תו""ב 28085-10-10",זכות ערעור תוך 45 יום מהיום. ,גזר דין
"תו""ב 28085-10-10","ניתנה והודעה היום י""ג חשון תשע""ב, 10/11/2011 במעמד הנוכחים.   ",<#3#>
"תו""ב 28085-10-10",הישאם אבו שחאדה 54678313,5129371
"תו""ב 28085-10-10",הוקלד על ידי: מרב גולן,"הישאם אבו שחאדה, שופט"
"תו""ב 28085-10-10",נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,"הישאם אבו שחאדה, שופט"
"תו""ב 28085-10-10","בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן","הישאם אבו שחאדה, שופט"
