verdict,text,part
"ת""פ 32410-05-22","חוק העונשין, תשל""ז-1977: סע'  144(א), 144 (ז), 340 א' (ב)(1)",חקיקה שאוזכרה: 
"ת""פ 32410-05-22","בטרם שמיעת הראיות, הגיעו הצדדים להסדר טיעון במסגרתו כתב האישום המקורי שהוגש נגד הנאשם תוקן והנאשם הודה בעובדות כתב האישום המתוקן.",גזר דין
"ת""פ 32410-05-22","על פי עובדות כתב האישום המתוקן, בתאריך 23.04.22 בשעת לילה, הנאשם עמד על מדרכה בסמוך לשער ביתו בשדרות. תוך כדי כך, עבר במקום רכב שאחד מיושביו ירה בנשק לעבר הנאשם, ובתגובה לכך הנאשם ירה מנשק שהחזיק שלא כדין, שסוגו איננו ידוע למאשימה.",גזר דין
"ת""פ 32410-05-22","על יסוד הודאת הנאשם בעובדות כאמור, הוא הורשע בעבירות של החזקת נשק, לפי סעיף 144(א) בחוק העונשין התשל""ז-1977 (להלן: ""חוק העונשין""); וירי מנשק חם, לפי סעיף 340 א' (ב)(1) בחוק העונשין.",גזר דין
"ת""פ 32410-05-22","במסגרת הסדר הטיעון, הצדדים המליצו לבית המשפט להטיל על הנאשם 22 חודשי מאסר בפועל, מאסר על תנאי וקנס בסך 3,000 ₪.",גזר דין
"ת""פ 32410-05-22","התביעה טענה, כי נסיבות האירוע מיוחדות. שכן, בעבר נעשו מספר ניסיונות לפגוע בנאשם, בין היתר בהנחת רימון ובירי לעבר ביתו, ועל רקעם המשטרה הציבה מצלמת אבטחה בקרבת בית הנאשם. וגם במקרה זה האירוע התחיל בכך שאחרים הגיעו לקרבת ביתו של הנאשם וירו לעברו מתוך רכב. עוד טענה, שאין אינדיקציה לכך שנגרמה פגיעה כלשהי מהירי של הנאשם, וטענה, שהגם שלא עומדת לנאשם טענת הגנה עצמית או הגנת בית מגורים, הרי שנסיבות האירוע מצדיקות הקלה מסוימת בעונשו של הנאשם. והעונש המוצע בהסדר משקלל נכונה את הנתונים.",גזר דין
"ת""פ 32410-05-22","ב""כ הנאשם טענה, שהנאשם איננו יודע למה ירו לעברו, הן באירוע הנוכחי והן באירועים קודמים. וטענה, שהמשטרה לא עושה די כדי לרדת לעומקם של הדברים ושבמקרה זה מי שירה על הנאשם לא נתפס וממילא לא הובא לדין. הוסיפה, שהנאשם בן 29, רווק. נמצא בזוגיות. התיק הקודם האחרון שנפתח לו הוא משנת 2016 ומאז לא נפתחו נגדו תיקים חדשים. ציינה שהנאשם עבד בעבודות מזדמנות ולאחרונה אינו עובד ומתקיים מקצבה של הביטוח הלאומי. הוסיפה, שהנאשם הוא מוסלמי החי בעיר יהודית והדבר כרוך בקשיים שונים. וביקשה לכבד את הסדר הטיעון.",גזר דין
"ת""פ 32410-05-22","הנאשם הביע צער על מעשהו. סיפר כי עבד תקופה ארוכה בקיבוץ זיקים. טען ששכנו מסוכסך עם אחרים ואלה חשבו שהנאשם עומד לצד שכנו, ולכן מנסים לפגוע גם בו.",גזר דין
"ת""פ 32410-05-22","הנאשם החזיק בנשק שלא כדין, וירה ממנו באזור מגורים בטבורה של עיר.",גזר דין
"ת""פ 32410-05-22","הסכנה הטמונה בעצם החזקת נשק חם שלא כדין ובמיוחד בהפעלתו בסביבת מגורים, ברורה מאליה. למרבה הצער, כבר אירע לא אחת שעובר אורח תמים ואפילו מי שהיה ספון בביתו, נפגעו מירי שלא היתה להם כל נגיעה אליו ושילמו מחיר כבד.",גזר דין
"ת""פ 32410-05-22","בשנים האחרונות, אירועי ירי במרחב הציבורי הפכו לחזון נפרץ. מעבר לפגיעה הקונקרטית בקרבן המעשה, לתופעה זו ישנן השלכות חמורות בתחומים שונים ובין היתר היא פוגעת בביטחון האישי והציבורי ויוצרת תחושה של הפקרות ופגיעות וחוסר מוגנות, ויש להתייחס אליה במלוא הרצינות והחומרה.",גזר דין
"ת""פ 32410-05-22","מדיניות הענישה בעבירות נשק התמקדה מאז ומתמיד בשיקולי הגמול וההרתעה, ובשנים האחרונות, נוכח ריבוי העבירות בתחום זה ופגיעתן הרחבה והקשה, מגמה זו התחזקה ביתר שאת והעונשים המוטלים בעבירות אלה מאופיינים בחומרה מובהקת.",גזר דין
